,store,type,department,date,weekly_sales,is_holiday,temperature_c,fuel_price_usd_per_l,unemployment
1799,4,A,1,2010-03-05,31580.69,False,6.383333333333335,0.7011129573811027,8.623
1800,4,A,1,2010-04-02,75535.18,False,9.31666666666667,0.7238317645908898,7.896
1801,4,A,1,2010-05-07,27453.68,False,13.761111111111113,0.7491922935692568,7.896
1802,4,A,1,2010-06-04,25702.66,False,21.57222222222222,0.7135290496934282,7.896
1803,4,A,1,2010-07-02,27310.36,False,23.14444444444444,0.7048113678571145,7.372000000000001
1804,4,A,1,2010-08-06,24769.54,False,24.73888888888889,0.6974145469050909,7.372000000000001
1805,4,A,1,2010-09-03,34713.96,False,24.88888888888889,0.6826209050010433,7.372000000000001
1806,4,A,1,2010-10-01,36486.28,False,17.755555555555556,0.691866931191073,7.127000000000001
1807,4,A,1,2010-11-05,48727.62,False,10.88888888888889,0.7130007053397122,7.127000000000001
1808,4,A,1,2010-12-03,36639.21,False,8.0,0.7203975262917358,7.127000000000001
1809,4,A,1,2011-01-07,25293.64,False,4.077777777777779,0.787233087036807,6.51
2699,6,A,1,2010-02-05,25619.0,False,4.683333333333334,0.6794508388787476,7.258999999999999
2700,6,A,1,2010-03-05,22839.36,False,9.794444444444444,0.693451964252221,7.258999999999999
2701,6,A,1,2010-04-02,62544.57,False,18.3,0.718284148876872,7.0920000000000005
2702,6,A,1,2010-05-07,20067.43,False,23.15555555555556,0.7489281213923986,7.0920000000000005
2703,6,A,1,2010-06-04,20823.02,False,26.355555555555554,0.7145857384008601,7.0920000000000005
2704,6,A,1,2010-07-02,21434.47,False,26.85555555555556,0.7050755400339724,6.973
2705,6,A,1,2010-08-06,21055.66,False,30.33888888888889,0.693980308605937,6.973
2706,6,A,1,2010-09-03,19404.6,False,27.861111111111114,0.6807716997630375,6.973
2707,6,A,1,2010-10-01,18951.73,False,21.494444444444444,0.6876401763613453,7.007000000000001
2708,6,A,1,2010-11-05,34633.25,False,15.5,0.7103589835711321,7.007000000000001
2709,6,A,1,2010-12-03,24898.3,False,11.277777777777777,0.7153782549314341,7.007000000000001
2710,6,A,1,2011-01-07,13951.76,False,8.766666666666667,0.7861763983293752,6.858
3593,10,B,1,2010-02-05,40212.84,False,12.411111111111111,0.7824779878533632,9.765
3594,10,B,1,2010-03-05,36572.44,False,13.28888888888889,0.7600233528204342,9.765
3595,10,B,1,2010-04-02,131853.01,False,17.58888888888889,0.815235337783754,9.524
3596,10,B,1,2010-05-07,29819.93,False,21.700000000000003,0.8260663970349313,9.524
3597,10,B,1,2010-06-04,27739.8,False,28.23333333333333,0.7769303721393456,9.524
3598,10,B,1,2010-07-02,27233.92,False,33.827777777777776,0.7867047426830911,9.199
3599,10,B,1,2010-08-06,26778.1,False,30.07222222222222,0.8250097083274995,9.199
3600,10,B,1,2010-09-03,29253.15,False,28.77777777777778,0.8154995099606118,9.199
3601,10,B,1,2010-10-01,34152.79,False,30.00555555555556,0.7927807027508249,9.003
3602,10,B,1,2010-11-05,68006.65,False,21.688888888888894,0.7948940801656887,9.003
3603,10,B,1,2010-12-03,50943.18,False,10.65,0.8033475898251445,9.003
3604,10,B,1,2011-01-07,26041.71,False,6.35,0.8683339453322096,8.744
4495,13,A,1,2010-02-05,46761.9,False,-0.2611111111111104,0.7042830235033987,8.316
4496,13,A,1,2010-03-05,34505.07,False,4.8055555555555545,0.7082456061562684,8.316
4497,13,A,1,2010-04-02,139870.9,False,5.638888888888888,0.7507773266304046,8.107000000000001
4498,13,A,1,2010-05-07,33966.45,False,6.900000000000001,0.7787795773773514,8.107000000000001
4499,13,A,1,2010-06-04,33383.09,False,15.47222222222222,0.7584383197592864,8.107000000000001
4500,13,A,1,2010-07-02,33967.55,False,26.011111111111106,0.7433805056783808,7.951
4501,13,A,1,2010-08-06,32420.69,False,27.355555555555554,0.740210439556085,7.951
4502,13,A,1,2010-09-03,32063.75,False,18.72777777777777,0.7576458032287124,7.951
4503,13,A,1,2010-10-01,35901.04,False,20.41111111111111,0.7536832205758426,7.795
4504,13,A,1,2010-11-05,54108.64,False,9.97777777777778,0.7478714326849668,7.795
4505,13,A,1,2010-12-03,47101.26,False,-3.444444444444444,0.7428521613246649,7.795
4506,13,A,1,2011-01-07,24627.06,False,-8.366666666666667,0.763721763296446,7.47
5408,14,A,1,2010-02-05,32842.31,False,-2.605555555555556,0.7354553403726412,8.992
5409,14,A,1,2010-03-05,26460.12,False,2.8500000000000014,0.7336061351346352,8.992
5410,14,A,1,2010-04-02,148029.47,False,8.744444444444447,0.7528907040452686,8.899
5411,14,A,1,2010-05-07,19913.34,False,21.52777777777778,0.7835346765607952,8.899
5412,14,A,1,2010-06-04,19974.13,False,24.40555555555556,0.7520981875146945,8.899
5413,14,A,1,2010-07-02,21878.49,False,24.78333333333333,0.7436446778552389,8.743
5414,14,A,1,2010-08-06,19255.34,False,25.09444444444445,0.7354553403726412,8.743
5415,14,A,1,2010-09-03,17501.45,False,25.761111111111116,0.71722746016944,8.743
5416,14,A,1,2010-10-01,23721.15,False,21.43333333333333,0.715114082754576,8.724
5417,14,A,1,2010-11-05,52501.8,False,7.583333333333333,0.7705902398947537,8.724
5418,14,A,1,2010-12-03,34406.89,False,4.961111111111111,0.8046684507094344,8.724
5419,14,A,1,2011-01-07,13527.45,False,1.288888888888889,0.8435017607075588,8.549
6293,19,A,1,2010-02-05,21500.58,False,-6.133333333333333,0.7803646104384993,8.35
6294,19,A,1,2010-03-05,18293.7,False,0.5111111111111121,0.7711185842484697,8.35
6295,19,A,1,2010-04-02,81550.15,False,7.366666666666664,0.7811571269690732,8.185
6296,19,A,1,2010-05-07,14045.55,False,16.966666666666665,0.8176128873754759,8.185
6297,19,A,1,2010-06-04,11708.53,False,20.488888888888887,0.7941015636351149,8.185
6298,19,A,1,2010-07-02,15034.12,False,19.02777777777778,0.7814212991459314,8.099
6299,19,A,1,2010-08-06,12727.31,False,23.444444444444443,0.7771945443162034,8.099
6300,19,A,1,2010-09-03,13202.29,False,23.716666666666665,0.7555324258138484,8.099
6301,19,A,1,2010-10-01,17189.71,False,15.505555555555553,0.7502489822766886,8.067
6302,19,A,1,2010-11-05,39237.84,False,5.433333333333334,0.8054609672400083,8.067
6303,19,A,1,2010-12-03,23042.32,False,2.577777777777778,0.8453509659455647,8.067
6304,19,A,1,2011-01-07,9446.29,False,-0.3666666666666667,0.8852409646511211,7.771
7199,20,A,1,2010-02-05,46021.21,False,-3.377777777777777,0.7354553403726412,8.187000000000001
7200,20,A,1,2010-03-05,41206.78,False,-0.1388888888888889,0.7336061351346352,8.187000000000001
7201,20,A,1,2010-04-02,149743.97,False,10.555555555555555,0.7528907040452686,7.856
7202,20,A,1,2010-05-07,31954.76,False,19.3,0.7835346765607952,7.856
7203,20,A,1,2010-06-04,33117.37,False,22.511111111111106,0.7520981875146945,7.856
7204,20,A,1,2010-07-02,33335.14,False,21.166666666666664,0.7436446778552389,7.527
7205,20,A,1,2010-08-06,31967.03,False,23.649999999999995,0.7354553403726412,7.527
7206,20,A,1,2010-09-03,33395.52,False,24.166666666666668,0.71722746016944,7.527
7207,20,A,1,2010-10-01,39475.99,False,16.15555555555555,0.715114082754576,7.484
7208,20,A,1,2010-11-05,50538.24,False,5.98888888888889,0.7705902398947537,7.484
7209,20,A,1,2010-12-03,52183.9,False,1.9277777777777767,0.8046684507094344,7.484
7210,20,A,1,2011-01-07,24790.5,False,-0.3166666666666668,0.8435017607075588,7.343
8109,27,A,1,2010-02-05,32313.79,False,-2.6722222222222216,0.7803646104384993,8.237
8110,27,A,1,2010-03-05,17758.17,False,3.3722222222222222,0.7711185842484697,8.237
8111,27,A,1,2010-04-02,93213.63,False,8.277777777777779,0.7811571269690732,8.058
8112,27,A,1,2010-05-07,21603.66,False,20.566666666666663,0.8176128873754759,8.058
8113,27,A,1,2010-06-04,23859.58,False,23.49444444444445,0.7941015636351149,8.058
8114,27,A,1,2010-07-02,25338.81,False,24.58333333333333,0.7814212991459314,7.982
8115,27,A,1,2010-08-06,22701.24,False,25.25,0.7771945443162034,7.982
8116,27,A,1,2010-09-03,21419.0,False,25.84444444444444,0.7555324258138484,7.982
8117,27,A,1,2010-10-01,26454.25,False,21.216666666666665,0.7502489822766886,8.021
8118,27,A,1,2010-11-05,52695.88,False,7.727777777777776,0.8054609672400083,8.021
8119,27,A,1,2010-12-03,31402.41,False,5.450000000000001,0.8453509659455647,8.021
8120,27,A,1,2011-01-07,17654.48,False,1.3444444444444454,0.8852409646511211,7.827000000000001
9009,31,A,1,2010-02-05,18187.71,False,3.916666666666665,0.6794508388787476,8.324
9010,31,A,1,2010-03-05,15084.71,False,9.227777777777778,0.693451964252221,8.324
9011,31,A,1,2010-04-02,32735.4,False,17.84444444444445,0.718284148876872,8.2
9012,31,A,1,2010-05-07,16812.53,False,21.59444444444445,0.7489281213923986,8.2
9013,31,A,1,2010-06-04,13749.51,False,28.15555555555556,0.7145857384008601,8.2
9014,31,A,1,2010-07-02,13849.43,False,27.938888888888894,0.7050755400339724,8.099
9015,31,A,1,2010-08-06,12515.76,False,32.388888888888886,0.693980308605937,8.099
9016,31,A,1,2010-09-03,12952.56,False,28.09444444444444,0.6807716997630375,8.099
9017,31,A,1,2010-10-01,15678.82,False,21.266666666666666,0.6876401763613453,8.163
9018,31,A,1,2010-11-05,30647.09,False,14.83888888888889,0.7103589835711321,8.163
9019,31,A,1,2010-12-03,16118.58,False,10.238888888888887,0.7153782549314341,8.163
9020,31,A,1,2011-01-07,11953.28,False,6.800000000000001,0.7861763983293752,8.027999999999999
9899,39,A,1,2010-02-05,21244.5,False,6.833333333333332,0.6794508388787476,8.554
9900,39,A,1,2010-03-05,14875.08,False,10.516666666666667,0.693451964252221,8.554
9901,39,A,1,2010-04-02,58728.61,False,17.394444444444446,0.718284148876872,8.464
9902,39,A,1,2010-05-07,15658.8,False,23.811111111111117,0.7489281213923986,8.464
9903,39,A,1,2010-06-04,15563.47,False,26.57222222222222,0.7145857384008601,8.464
9904,39,A,1,2010-07-02,15470.81,False,27.416666666666664,0.7050755400339724,8.36
9905,39,A,1,2010-08-06,14109.37,False,29.4,0.693980308605937,8.36
9906,39,A,1,2010-09-03,15019.76,False,27.85,0.6807716997630375,8.36
9907,39,A,1,2010-10-01,18819.37,False,22.633333333333333,0.6876401763613453,8.476
9908,39,A,1,2010-11-05,31729.41,False,16.455555555555556,0.7103589835711321,8.476
9909,39,A,1,2010-12-03,24716.6,False,11.97222222222222,0.7153782549314341,8.476
9910,39,A,1,2011-01-07,11141.04,False,11.522222222222224,0.7861763983293752,8.395
