CountryName;CountryCode;IndicatorName;IndicatorCode;Year;Value
Bermuda;BMU;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;100.000
Bhutan;BTN;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;3.596
Bolivia;BOL;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;36.762
Bosnia and Herzegovina;BIH;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;19.040
Botswana;BWA;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;3.060
Brazil;BRA;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;46.139
Brunei Darussalam;BRN;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;43.401
Bulgaria;BGR;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;37.100
Burkina Faso;BFA;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;4.700
Burundi;BDI;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;2.077
Cabo Verde;CPV;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;16.679
Cambodia;KHM;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;10.285
Cameroon;CMR;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;13.937
Canada;CAN;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;69.061
Cayman Islands;CYM;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;100.000
Central African Republic;CAF;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;20.100
Chad;TCD;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;6.695
Channel Islands;CHI;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;38.700
Chile;CHL;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;67.836
China;CHN;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;16.203
Colombia;COL;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;45.033
Comoros;COM;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;12.551
Congo, Dem. Rep.;ZAR;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;22.300
Congo, Rep.;COG;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;31.601
Costa Rica;CRI;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;34.254
Cote d'Ivoire;CIV;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;17.679
Croatia;HRV;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;30.154
Cuba;CUB;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;58.401
Curacao;CUW;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;74.710
Cyprus;CYP;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;35.628
Czech Republic;CZE;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;59.548
Denmark;DNK;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;73.687
Djibouti;DJI;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;50.325
Dominica;DMA;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;37.846
Dominican Republic;DOM;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;30.229
Ecuador;ECU;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;33.878
Egypt, Arab Rep.;EGY;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;37.864
El Salvador;SLV;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;38.345
Equatorial Guinea;GNQ;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;25.537
Eritrea;ERI;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;9.751
Estonia;EST;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;57.533
Ethiopia;ETH;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;6.433
Faeroe Islands;FRO;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;21.383
Fiji;FJI;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;29.681
Finland;FIN;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;55.290
France;FRA;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;61.880
French Polynesia;PYF;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;42.281
Gabon;GAB;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;17.398
Gambia, The;GMB;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;12.129
Georgia;GEO;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;43.069
Germany;DEU;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;71.384
Ghana;GHA;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;23.252
Greece;GRC;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;55.936
Greenland;GRL;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;58.534
Grenada;GRD;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;30.332
Guam;GUM;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;50.147
Guatemala;GTM;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;31.121
Guinea;GIN;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;10.472
Guinea-Bissau;GNB;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;13.600
Guyana;GUY;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;29.009
Haiti;HTI;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;15.593
Honduras;HND;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;22.747
Hong Kong SAR, China;HKG;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;85.200
Hungary;HUN;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;55.911
Iceland;ISL;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;80.300
India;IND;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;17.924
Indonesia;IDN;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;14.586
Iran, Islamic Rep.;IRN;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;33.735
Iraq;IRQ;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;42.899
Ireland;IRL;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;45.822
Isle of Man;IMY;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;55.123
Israel;ISR;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;76.848
Italy;ITA;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;59.361
Jamaica;JAM;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;33.769
Japan;JPN;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;63.272
Jordan;JOR;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;50.879
Kazakhstan;KAZ;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;44.198
Kenya;KEN;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;7.362
Kiribati;KIR;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;16.290
Korea, Dem. Rep.;PRK;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;40.195
Korea, Rep.;KOR;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;27.710
Kuwait;KWT;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;74.893
Kyrgyz Republic;KGZ;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;34.181
Lao PDR;LAO;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;7.946
Latvia;LVA;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;52.867
Lebanon;LBN;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;42.343
Lesotho;LSO;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;3.512
Liberia;LBR;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;18.632
Libya;LBY;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;27.323
Liechtenstein;LIE;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;20.437
Lithuania;LTU;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;39.460
Luxembourg;LUX;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;69.556
Macao SAR, China;MAC;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;95.289
Macedonia, FYR;MKD;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;34.020
Madagascar;MDG;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;10.642
Malawi;MWI;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;4.390
Malaysia;MYS;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;26.598
Maldives;MDV;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;11.173
Mali;MLI;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;11.066
Malta;MLT;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;90.129
Marshall Islands;MHL;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;35.584
Mauritania;MRT;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;6.880
Mauritius;MUS;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;33.177
Mexico;MEX;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;50.753
Micronesia, Fed. Sts.;FSM;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;22.312
Moldova;MDA;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;23.424
Monaco;MCO;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;100.000
Mongolia;MNG;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;35.679
Montenegro;MNE;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;18.788
Morocco;MAR;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;29.357
Mozambique;MOZ;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;4.769
Myanmar;MMR;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;19.226
Namibia;NAM;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;17.909
Nepal;NPL;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;3.480
Netherlands;NLD;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;59.752
New Caledonia;NCL;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;37.360
New Zealand;NZL;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;75.998
Nicaragua;NIC;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;39.581
Niger;NER;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;5.793
Nigeria;NGA;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;15.410
Northern Mariana Islands;MNP;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;51.219
Norway;NOR;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;49.920
Oman;OMN;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;16.400
Pakistan;PAK;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;22.104
Palau;PLW;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;56.823
Panama;PAN;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;41.249
Papua New Guinea;PNG;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;3.725
Paraguay;PRY;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;35.569
Peru;PER;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;46.811
Philippines;PHL;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;30.297
Poland;POL;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;47.892
Portugal;PRT;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;34.955
Puerto Rico;PRI;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;44.547
Qatar;QAT;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;85.275
Romania;ROM;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;34.209
Russian Federation;RUS;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;53.731
Rwanda;RWA;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;2.600
Samoa;WSM;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;18.926
San Marino;SMR;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;48.900
Sao Tome and Principe;STP;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;16.073
Saudi Arabia;SAU;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;31.250
Senegal;SEN;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;23.000
Seychelles;SYC;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;27.673
Sierra Leone;SLE;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;17.352
Singapore;SGP;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;100.000
Sint Maarten (Dutch part);SXM;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;100.000
Slovak Republic;SVK;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;33.464
Slovenia;SVN;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;28.204
Solomon Islands;SLB;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;5.768
Somalia;SOM;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;17.312
South Africa;ZAF;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;46.619
South Sudan;SSD;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;8.748
Spain;ESP;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;56.567
Sri Lanka;LKA;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;16.431
St. Kitts and Nevis;KNA;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;27.644
St. Lucia;LCA;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;21.460
St. Vincent and the Grenadines;VCT;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;25.943
Sudan;SDN;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;10.746
Suriname;SUR;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;47.260
Swaziland;SWZ;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;3.913
Sweden;SWE;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;72.490
Switzerland;CHE;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;51.019
Syrian Arab Republic;SYR;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;36.807
Tajikistan;TJK;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;33.168
Tanzania;TZA;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;5.246
Thailand;THA;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;19.672
Timor-Leste;TMP;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;10.091
Togo;TGO;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;10.098
Tonga;TON;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;17.552
Trinidad and Tobago;TTO;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;17.349
Tunisia;TUN;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;37.511
Turkey;TUR;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;31.515
Turkmenistan;TKM;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;46.412
Turks and Caicos Islands;TCA;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;47.679
Tuvalu;TUV;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;15.895
Uganda;UGA;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;4.417
Ukraine;UKR;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;46.792
United Arab Emirates;ARE;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;73.500
United Kingdom;GBR;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;78.444
United States;USA;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;69.996
Uruguay;URY;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;80.241
Uzbekistan;UZB;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;33.978
Vanuatu;VUT;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;10.404
Venezuela, RB;VEN;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;61.613
Vietnam;VNM;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;14.700
Virgin Islands (U.S.);VIR;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;56.477
Yemen, Rep.;YEM;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;9.100
Zambia;ZMB;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;18.145
Zimbabwe;ZWE;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;12.608
Arab World;ARB;Urban population (% of total);SP.URB.TOTL.IN.ZS;1961;32.029
Caribbean small states;CSS;Urban population (% of total);SP.URB.TOTL.IN.ZS;1961;31.819
Central Europe and the Baltics;CEB;Urban population (% of total);SP.URB.TOTL.IN.ZS;1961;45.207
East Asia & Pacific (all income levels);EAS;Urban population (% of total);SP.URB.TOTL.IN.ZS;1961;23.122
East Asia & Pacific (developing only);EAP;Urban population (% of total);SP.URB.TOTL.IN.ZS;1961;17.391
Euro area;EMU;Urban population (% of total);SP.URB.TOTL.IN.ZS;1961;62.575
Europe & Central Asia (all income levels);ECS;Urban population (% of total);SP.URB.TOTL.IN.ZS;1961;55.915
Europe & Central Asia (developing only);ECA;Urban population (% of total);SP.URB.TOTL.IN.ZS;1961;38.760
European Union;EUU;Urban population (% of total);SP.URB.TOTL.IN.ZS;1961;61.674
Fragile and conflict affected situations;FCS;Urban population (% of total);SP.URB.TOTL.IN.ZS;1961;18.390
Heavily indebted poor countries (HIPC);HPC;Urban population (% of total);SP.URB.TOTL.IN.ZS;1961;12.583
High income;HIC;Urban population (% of total);SP.URB.TOTL.IN.ZS;1961;63.247
High income: nonOECD;NOC;Urban population (% of total);SP.URB.TOTL.IN.ZS;1961;56.977
High income: OECD;OEC;Urban population (% of total);SP.URB.TOTL.IN.ZS;1961;64.779
Latin America & Caribbean (all income levels);LCN;Urban population (% of total);SP.URB.TOTL.IN.ZS;1961;50.073
Latin America & Caribbean (developing only);LAC;Urban population (% of total);SP.URB.TOTL.IN.ZS;1961;45.700
Least developed countries: UN classification;LDC;Urban population (% of total);SP.URB.TOTL.IN.ZS;1961;9.862
Low & middle income;LMY;Urban population (% of total);SP.URB.TOTL.IN.ZS;1961;21.750
Low income;LIC;Urban population (% of total);SP.URB.TOTL.IN.ZS;1961;11.780
Lower middle income;LMC;Urban population (% of total);SP.URB.TOTL.IN.ZS;1961;20.043
Middle East & North Africa (all income levels);MEA;Urban population (% of total);SP.URB.TOTL.IN.ZS;1961;35.708
Middle East & North Africa (developing only);MNA;Urban population (% of total);SP.URB.TOTL.IN.ZS;1961;34.595
Middle income;MIC;Urban population (% of total);SP.URB.TOTL.IN.ZS;1961;22.553
North America;NAC;Urban population (% of total);SP.URB.TOTL.IN.ZS;1961;70.320
OECD members;OED;Urban population (% of total);SP.URB.TOTL.IN.ZS;1961;62.972
Other small states;OSS;Urban population (% of total);SP.URB.TOTL.IN.ZS;1961;14.786
Pacific island small states;PSS;Urban population (% of total);SP.URB.TOTL.IN.ZS;1961;22.474
Small states;SST;Urban population (% of total);SP.URB.TOTL.IN.ZS;1961;21.484
South Asia;SAS;Urban population (% of total);SP.URB.TOTL.IN.ZS;1961;16.867
Sub-Saharan Africa (all income levels);SSF;Urban population (% of total);SP.URB.TOTL.IN.ZS;1961;14.948
Sub-Saharan Africa (developing only);SSA;Urban population (% of total);SP.URB.TOTL.IN.ZS;1961;14.933
Upper middle income;UMC;Urban population (% of total);SP.URB.TOTL.IN.ZS;1961;24.900
World;WLD;Urban population (% of total);SP.URB.TOTL.IN.ZS;1961;34.073
Afghanistan;AFG;Urban population (% of total);SP.URB.TOTL.IN.ZS;1961;8.508
Albania;ALB;Urban population (% of total);SP.URB.TOTL.IN.ZS;1961;30.943
Algeria;DZA;Urban population (% of total);SP.URB.TOTL.IN.ZS;1961;31.797
American Samoa;ASM;Urban population (% of total);SP.URB.TOTL.IN.ZS;1961;66.641
Andorra;ADO;Urban population (% of total);SP.URB.TOTL.IN.ZS;1961;60.983
Angola;AGO;Urban population (% of total);SP.URB.TOTL.IN.ZS;1961;10.798
Antigua and Barbuda;ATG;Urban population (% of total);SP.URB.TOTL.IN.ZS;1961;39.040
Argentina;ARG;Urban population (% of total);SP.URB.TOTL.IN.ZS;1961;74.217
Armenia;ARM;Urban population (% of total);SP.URB.TOTL.IN.ZS;1961;52.147
Aruba;ABW;Urban population (% of total);SP.URB.TOTL.IN.ZS;1961;50.761
Australia;AUS;Urban population (% of total);SP.URB.TOTL.IN.ZS;1961;81.941
Austria;AUT;Urban population (% of total);SP.URB.TOTL.IN.ZS;1961;64.814
Azerbaijan;AZE;Urban population (% of total);SP.URB.TOTL.IN.ZS;1961;52.364
Bahamas, The;BHS;Urban population (% of total);SP.URB.TOTL.IN.ZS;1961;60.454
Bahrain;BHR;Urban population (% of total);SP.URB.TOTL.IN.ZS;1961;82.337
Bangladesh;BGD;Urban population (% of total);SP.URB.TOTL.IN.ZS;1961;5.278
Barbados;BRB;Urban population (% of total);SP.URB.TOTL.IN.ZS;1961;36.849
Belarus;BLR;Urban population (% of total);SP.URB.TOTL.IN.ZS;1961;33.522
Belgium;BEL;Urban population (% of total);SP.URB.TOTL.IN.ZS;1961;92.554
Belize;BLZ;Urban population (% of total);SP.URB.TOTL.IN.ZS;1961;53.720
Benin;BEN;Urban population (% of total);SP.URB.TOTL.IN.ZS;1961;9.856
Bermuda;BMU;Urban population (% of total);SP.URB.TOTL.IN.ZS;1961;100.000
Bhutan;BTN;Urban population (% of total);SP.URB.TOTL.IN.ZS;1961;3.792
Bolivia;BOL;Urban population (% of total);SP.URB.TOTL.IN.ZS;1961;37.059
Bosnia and Herzegovina;BIH;Urban population (% of total);SP.URB.TOTL.IN.ZS;1961;19.686
Botswana;BWA;Urban population (% of total);SP.URB.TOTL.IN.ZS;1961;3.097
Brazil;BRA;Urban population (% of total);SP.URB.TOTL.IN.ZS;1961;47.122
Brunei Darussalam;BRN;Urban population (% of total);SP.URB.TOTL.IN.ZS;1961;45.228
Bulgaria;BGR;Urban population (% of total);SP.URB.TOTL.IN.ZS;1961;38.782
Burkina Faso;BFA;Urban population (% of total);SP.URB.TOTL.IN.ZS;1961;4.796
Burundi;BDI;Urban population (% of total);SP.URB.TOTL.IN.ZS;1961;2.115
Cabo Verde;CPV;Urban population (% of total);SP.URB.TOTL.IN.ZS;1961;16.948
Cambodia;KHM;Urban population (% of total);SP.URB.TOTL.IN.ZS;1961;10.293
